Week,AMR,Europe,PAC
Oct Wk4,260,109,170
Oct Wk5,185,87,249
Nov Wk1,103,62,212
Nov Wk2,98,87,170
Nov Wk3,119,76,147
Nov Wk4,128,60,124
Dec Wk1,109,60,113
Dec Wk2,109,60,139
Dec Wk3,109,50,113
Dec Wk4,128,50,103
Jan Wk1,83,58,124
Jan Wk2,89,79,134
Jan Wk3,99,79,165
Jan Wk4,79,60,124
Jan Wk5,89,50,103
