Week,AMR,Europe,PAC
Oct Wk4,260,109,165
Oct Wk5,185,87,242
Nov Wk1,103,62,205
Nov Wk2,98,87,165
Nov Wk3,119,76,143
Nov Wk4,128,60,120
Dec Wk1,109,60,110
Dec Wk2,109,60,135
Dec Wk3,109,50,110
Dec Wk4,128,50,100
Jan Wk1,83,58,120
Jan Wk2,89,79,130
Jan Wk3,99,79,160
Jan Wk4,79,60,120
Jan Wk5,89,50,100
